Time,Channel A
(ms),(A)

33.62815980,-0.06500443
33.66911980,-0.08337657
33.71007980,-0.09256265
33.75103979,-0.04663229
33.79199979,-0.08337657
33.83295979,-0.06500443
33.87391979,-0.15683460
33.91487979,-0.04663229
33.95583979,-0.09256265
33.99679979,-0.02829066
34.03775979,-0.07419050
34.07871979,-0.08337657
34.11967979,-0.10174870
34.16063979,-0.02829066
34.20159979,-0.07419050
34.24255979,-0.05581836
34.28351979,-0.16602070
34.32447979,-0.10174870
34.36543979,-0.12009030
34.40639979,-0.09256265
34.44735979,-0.12927640
34.48831979,-0.04663229
34.52927979,-0.09256265
34.57023979,-0.12927640
34.61119979,-0.12927640
34.65215979,-0.15683460
34.69311979,-0.06500443
34.73407979,-0.18436230
34.77503979,-0.23944820
34.81599979,-0.13846250
34.85695979,0.00845363
34.89791979,-0.13846250
34.93887979,-0.06500443
34.97983979,-0.20273450
35.02079979,-0.09256265
35.06175979,-0.10174870
35.10271979,-0.12927640
35.14367979,-0.10174870
35.18463979,-0.09256265
35.22559979,-0.14764860
35.26655979,-0.09256265
35.30751979,-0.12927640
35.34847979,-0.06500443
35.38943978,-0.11090430
35.43039978,-0.07419050
35.47135978,-0.18436230
35.51231978,-0.21192050
35.55327978,-0.20273450
35.59423978,-0.16602070
35.63519978,-0.05581836
35.67615978,-0.00073244
35.71711978,0.04513688
35.75807978,0.10022280
35.79903978,0.16449480
35.83999978,0.23795280
35.88095978,0.22876680
35.92191978,0.30222480
35.96287978,0.36649680
36.00383978,0.39405500
36.04479978,0.43995480
36.08575978,0.44914090
36.12671978,0.46751310
36.16767978,0.46751310
36.20863978,0.47669910
36.24959978,0.53178500
36.29055978,0.56849880
36.33151978,0.56849880
36.37247978,0.56849880
36.41343978,0.55012670
36.45439978,0.55931280
36.49535978,0.55012670
36.53631978,0.55931280
36.57727978,0.55012670
36.61823978,0.53178500
36.65919978,0.51341290
36.70015978,0.50422680
36.74111978,0.49504070
36.78207978,0.49504070
36.82303978,0.49504070
36.86399978,0.47669910
36.90495978,0.45832700
36.94591978,0.43995480
36.98687978,0.41242720
37.02783977,0.40324110
37.06879977,0.38486890
37.10975977,0.38486890
37.15071977,0.32978300
37.19167977,0.34815520
37.23263977,0.30222480
37.27359977,0.29303880
37.31455977,0.27469710
37.35551977,0.26551100
37.39647977,0.23795280
37.43743977,0.21042510
37.47839977,0.20123910
37.51935977,0.20123910
37.56031977,0.19205300
37.60127977,0.16449480
37.64223977,0.16449480
37.68319977,0.14615320
37.72415977,0.13696710
37.76511977,0.11859490
37.80607977,0.12778100
37.84703977,0.10022280
37.88799977,0.09106724
37.92895977,0.08188117
37.96991977,0.07269509
38.01087977,0.05432295
38.05183977,0.06350902
38.09279977,0.05432295
38.13375977,0.04513688
38.17471977,0.03595081
38.21567977,0.03595081
38.25663977,0.01763970
38.29759977,0.01763970
38.33855977,0.01763970
38.37951977,0.00845363
38.42047977,0.00845363
38.46143977,-0.00073244
38.50239977,-0.00073244
38.54335977,0.01763970
38.58431977,0.00845363
38.62527977,-0.01910459
38.66623977,-0.01910459
38.70719976,-0.01910459
38.74815976,-0.02829066
38.78911976,-0.01910459
38.83007976,-0.01910459
38.87103976,0.05432295
38.91199976,-0.00073244
38.95295976,-0.05581836
38.99391976,-0.03747673
39.03487976,-0.02829066
39.07583976,-0.01910459
39.11679976,-0.01910459
39.15775976,-0.03747673
39.19871976,-0.02829066
39.23967976,-0.04663229
39.28063976,-0.04663229
39.32159976,-0.04663229
39.36255976,-0.03747673
39.40351976,-0.03747673
39.44447976,-0.05581836
39.48543976,-0.02829066
39.52639976,-0.03747673
39.56735976,-0.05581836
39.60831976,-0.01910459
39.64927976,-0.04663229
39.69023976,-0.06500443
39.73119976,-0.02829066
39.77215976,-0.04663229
39.81311976,-0.04663229
39.85407976,-0.04663229
39.89503976,-0.01910459
39.93599976,-0.05581836
39.97695976,-0.02829066
40.01791976,-0.02829066
40.05887976,-0.02829066
40.09983976,-0.01910459
40.14079976,-0.00991852
40.18175976,-0.00073244
40.22271976,-0.04663229
40.26367976,-0.00073244
40.30463976,-0.01910459
40.34559975,-0.04663229
40.38655975,-0.01910459
40.42751975,-0.01910459
40.46847975,-0.01910459
40.50943975,-0.01910459
40.55039975,-0.01910459
40.59135975,-0.00073244
40.63231975,-0.00073244
40.67327975,-0.01910459
40.71423975,-0.00991852
40.75519975,-0.00991852
40.79615975,-0.00073244
40.83711975,-0.00073244
40.87807975,-0.02829066
40.91903975,-0.09256265
40.95999975,0.01763970
41.00095975,0.00845363
41.04191975,0.00845363
41.08287975,-0.09256265
41.12383975,-0.01910459
41.16479975,-0.00991852
41.20575975,0.01763970
41.24671975,0.02679525
41.28767975,0.02679525
41.32863975,0.04513688
41.36959975,0.00845363
41.41055975,0.10022280
41.45151975,0.00845363
41.49247975,0.01763970
41.53343975,-0.01910459
41.57439975,0.00845363
41.61535975,-0.00991852
41.65631975,0.01763970
41.69727975,0.00845363
41.73823975,0.08188117
41.77919975,0.05432295
41.82015975,-0.00991852
41.86111975,-0.04663229
41.90207975,0.02679525
41.94303975,0.09106724
41.98399974,0.05432295
42.02495974,0.01763970
42.06591974,0.01763970
42.10687974,0.05432295
42.14783974,-0.01910459
42.18879974,0.04513688
42.22975974,-0.00991852
42.27071974,0.06350902
42.31167974,0.08188117
42.35263974,-0.05581836
42.39359974,0.02679525
42.43455974,0.09106724
42.47551974,-0.02829066
42.51647974,-0.06500443
42.55743974,0.09106724
42.59839974,0.01763970
42.63935974,0.09106724
42.68031974,-0.08337657
42.72127974,0.03595081
42.76223974,0.09106724
42.80319974,0.09106724
42.84415974,0.12778100
42.88511974,-0.10174870
42.92607974,0.20123910
42.96703974,0.08188117
43.00799974,0.10940890
43.04895974,0.03595081
43.08991974,0.16449480
43.13087974,0.05432295
43.17183974,0.12778100
43.21279974,0.10940890
43.25375974,0.12778100
43.29471974,0.05432295
43.33567974,0.03595081
43.37663974,0.08188117
43.41759974,0.09106724
43.45855974,0.12778100
43.49951974,0.16449480
43.54047974,0.07269509
43.58143974,0.09106724
43.62239973,0.14615320
43.66335973,0.09106724
43.70431973,0.08188117
43.74527973,0.10940890
43.78623973,0.16449480
43.82719973,0.11859490
43.86815973,0.15533920
43.90911973,0.09106724
43.95007973,0.09106724
43.99103973,0.12778100
44.03199973,0.13696710
44.07295973,0.10940890
44.11391973,0.16449480
44.15487973,0.12778100
44.19583973,0.14615320
44.23679973,0.10022280
44.27775973,0.09106724
44.31871973,-0.00991852
44.35967973,0.16449480
44.40063973,0.07269509
44.44159973,0.15533920
44.48255973,0.10022280
44.52351973,0.21961120
44.56447973,0.19205300
44.60543973,0.10940890
44.64639973,0.06350902
44.68735973,0.16449480
44.72831973,0.12778100
44.76927973,0.14615320
44.81023973,0.05432295
44.85119973,0.23795280
44.89215973,0.15533920
44.93311973,0.09106724
44.97407973,0.23795280
45.01503973,0.16449480
45.05599973,0.16449480
45.09695973,0.21042510
45.13791973,0.09106724
45.17887973,0.18286690
45.21983973,0.17368080
45.26079972,0.14615320
45.30175972,0.19205300
45.34271972,0.16449480
45.38367972,0.17368080
45.42463972,0.20123910
45.46559972,0.27469710
45.50655972,0.22876680
45.54751972,0.15533920
45.58847972,0.12778100
45.62943972,0.06350902
45.67039972,-0.12009030
45.71135972,-0.12927640
45.75231972,-0.23944820
45.79327972,-0.36799220
45.83423972,-0.42310860
45.87519972,-0.48738060
45.91615972,-0.56083860
