Time,Channel B
(ms),(V)

56.36095966,-207.00700000
56.40191966,-207.00700000
56.44287966,-207.00700000
56.48383966,-207.00700000
56.52479966,-211.55430000
56.56575966,-211.55430000
56.60671966,-211.55430000
56.64767966,-211.55430000
56.68863966,-216.11680000
56.72959966,-211.55430000
56.77055965,-216.11680000
56.81151965,-216.11680000
56.85247965,-216.11680000
56.89343965,-216.11680000
56.93439965,-216.11680000
56.97535965,-216.11680000
57.01631965,-216.11680000
57.05727965,-216.11680000
57.09823965,-220.66410000
57.13919965,-216.11680000
57.18015965,-216.11680000
57.22111965,-216.11680000
57.26207965,-220.66410000
57.30303965,-220.66410000
57.34399965,-216.11680000
57.38495965,-216.11680000
57.42591965,-216.11680000
57.46687965,-216.11680000
57.50783965,-216.11680000
57.54879965,-216.11680000
57.58975965,-220.66410000
57.63071965,-216.11680000
57.67167965,-216.11680000
57.71263965,-216.11680000
57.75359965,-216.11680000
57.79455965,-216.11680000
57.83551965,-216.11680000
57.87647965,-211.55430000
57.91743965,-211.55430000
57.95839965,-216.11680000
57.99935965,-216.11680000
58.04031965,-211.55430000
58.08127965,-211.55430000
58.12223965,-211.55430000
58.16319965,-211.55430000
58.20415965,-207.00700000
58.24511965,-207.00700000
58.28607965,-207.00700000
58.32703965,-207.00700000
58.36799965,-207.00700000
58.40895965,-207.00700000
58.44991964,-207.00700000
58.49087964,-202.45980000
58.53183964,-202.45980000
58.57279964,-202.45980000
58.61375964,-202.45980000
58.65471964,-202.45980000
58.69567964,-202.45980000
58.73663964,-197.89730000
58.77759964,-197.89730000
58.81855964,-197.89730000
58.85951964,-197.89730000
58.90047964,-193.35000000
58.94143964,-193.35000000
58.98239964,-188.80270000
59.02335964,-193.35000000
59.06431964,-188.80270000
59.10527964,-184.24020000
59.14623964,-184.24020000
59.18719964,-184.24020000
59.22815964,-179.69300000
59.26911964,-179.69300000
59.31007964,-179.69300000
59.35103964,-175.14570000
59.39199964,-175.14570000
59.43295964,-170.58320000
59.47391964,-166.03590000
59.51487964,-170.58320000
59.55583964,-166.03590000
59.59679964,-166.03590000
59.63775964,-161.48870000
59.67871964,-156.92620000
59.71967964,-156.92620000
59.76063964,-152.37890000
59.80159964,-152.37890000
59.84255964,-147.81640000
59.88351964,-147.81640000
59.92447964,-143.26910000
59.96543964,-143.26910000
60.00639964,-143.26910000
60.04735964,-138.72190000
60.08831963,-138.72190000
60.12927963,-134.15940000
60.17023963,-134.15940000
60.21119963,-129.61210000
60.25215963,-129.61210000
60.29311963,-129.61210000
60.33407963,-125.06480000
60.37503963,-120.50230000
60.41599963,-120.50230000
60.45695963,-115.95510000
60.49791963,-115.95510000
60.53887963,-111.40780000
60.57983963,-111.40780000
60.62079963,-111.40780000
60.66175963,-106.84530000
60.70271963,-102.29800000
60.74367963,-97.73553000
60.78463963,-97.73553000
60.82559963,-93.18827000
60.86655963,-88.64101000
60.90751963,-88.64101000
60.94847963,-88.64101000
60.98943963,-84.07849000
61.03039963,-79.53123000
61.07135963,-79.53123000
61.11231963,-74.98398000
61.15327963,-70.42146000
61.19423963,-70.42146000
61.23519963,-65.87420000
61.27615963,-65.87420000
61.31711963,-61.32695000
61.35807963,-56.76443000
61.39903963,-56.76443000
61.43999963,-56.76443000
61.48095963,-52.21717000
61.52191963,-47.66991000
61.56287963,-47.66991000
61.60383963,-47.66991000
61.64479963,-43.10740000
61.68575963,-38.56014000
61.72671962,-38.56014000
61.76767962,-38.56014000
61.80863962,-33.99762000
61.84959962,-29.45036000
61.89055962,-29.45036000
61.93151962,-24.90310000
61.97247962,-24.90310000
62.01343962,-20.34059000
62.05439962,-15.79333000
62.09535962,-15.79333000
62.13631962,-15.79333000
62.17727962,-11.24607000
62.21823962,-6.68355400
62.25919962,-2.13629600
62.30015962,-2.13629600
62.34111962,-2.13629600
62.38207962,2.41096200
62.42303962,6.97348000
62.46399962,6.97348000
62.50495962,6.97348000
62.54591962,6.97348000
62.58687962,6.97348000
62.62783962,6.97348000
62.66879962,6.97348000
62.70975962,6.97348000
62.75071962,6.97348000
62.79167962,6.97348000
62.83263962,25.16251000
62.87359962,29.72503000
62.91455962,34.27229000
62.95551962,38.81955000
62.99647962,38.81955000
63.03743962,43.38206000
63.07839962,47.92932000
63.11935962,52.47658000
63.16031962,57.03909000
63.20127962,57.03909000
63.24223962,61.58635000
63.28319962,66.13361000
63.32415962,66.13361000
63.36511961,70.69613000
63.40607961,70.69613000
63.44703961,75.24339000
63.48799961,75.24339000
63.52895961,79.80591000
63.56991961,84.35316000
63.61087961,88.90041000
63.65183961,88.90041000
63.69279961,88.90041000
